"dayOfYear","chlA","iceAlgae","temperature","timepoint"
52,1.113053857,0,0.898700041288647,52
53,1.096172708,0,0.890205619322891,53
54,1.075525679,0,0.881389842796151,54
55,1.054261999,0,0.872255894108014,55
56,1.035530898,0,0.862807070514761,56
57,1.022481608,0,0.853046782939096,57
58,1.011910942,0,0.842978554738838,58
59,0.998107272,0,0.832606020435027,59
60,0.98255644,0,0.8219329243999,60
61,0.966764184,0,0.810963119505218,61
62,0.952236243,0,0.799700565731415,62
63,0.940478357,0,0.788149328738094,63
64,0.927545794,0,0.776313578396362,64
65,0.906609765,0,0.764197587283559,65
66,0.889864164,0,0.751805729140895,66
67,0.877697075,0,0.739142477294586,67
68,0.860503069,0,0.726212403041026,68
69,0.843326618,0,0.713020173996601,69
70,0.831328242,0,0.699570552412728,70
71,0.819340013,0,0.685868393456737,71
72,0.801796375,0,0.671918643459207,72
73,0.786227907,0,0.657726338128393,73
74,0.777235187,0,0.643296600732391,74
75,0.766497783,0,0.628634640249695,75
76,0.754687344,0,0.613745749488812,76
77,0.744031044,0,0.598635303177613,77
78,0.736735105,0,0.583308756023117,78
79,0.726820998,0,0.567771640742403,79
80,0.714798501,0,0.552029566065354,80
81,0.70727722,0,0.536088214709971,81
82,0.695246061,0,0.51995334133097,82
83,0.681267222,0,0.503630770442417,83
84,0.670455762,0,0.48712639431514,84
85,0.665028711,0,0.470446170849686,85
86,0.657076129,0,0.453596121425577,86
87,0.651501446,0,0.436582328727667,87
88,0.640667479,0,0.419410934550349,88
89,0.626341611,0,0.402088137580442,89
90,0.615575836,0,0.384620191159526,90
91,0.608693211,0,0.367013401026559,91
92,0.599521335,0,0.349274123041569,92
93,0.589052545,0,0.331408760891261,93
94,0.578342783,0,0.313423763777355,94
95,0.568447991,0.01514491,0.295325624088493,95
96,0.560424111,0.033005742,0.277120875056558,96
97,0.554638539,0.051369464,0.258816088398246,97
98,0.546245529,0.066580057,0.240417871942753,98
99,0.535306992,0.075531665,0.221932867246416,99
100,0.523324713,0.078887768,0.203367747195183,100
101,0.511800478,0.077884885,0.184729213595776,101
102,0.502236075,0.073636486,0.166023994756412,102
103,0.496002331,0.067256044,0.147258843057954,103
104,0.490004943,0.059857028,0.128440532516376,104
105,0.482748506,0.052552909,0.109575856337417,105
106,0.474754544,0.046457158,0.0906716244643099,106
107,0.466544579,0.042683247,0.07173466111946,107
108,0.458640135,0.042143198,0.0527718023409811,108
109,0.451562734,0.043853105,0.0337898935149567,109
110,0.445833899,0.047024992,0.0147957869043297,110
111,0.441974954,0.051095954,-0.00420366082468826,111
112,0.438035445,0.055503084,-0.0232015910778001,112
113,0.432331227,0.059683477,-0.0421911458085005,113
114,0.425650642,0.063074227,-0.0611654699937584,114
115,0.418782038,0.065112429,-0.0801177141086026,115
116,0.412513758,0.065235175,-0.0990410365987278,116
117,0.407634148,0.062885596,-0.117928606350222,117
118,0.404179646,0.058198802,-0.136773605155523,118
119,0.398701447,0.051857338,-0.155569230174718,119
120,0.391393032,0.044550727,-0.174308696391294,120
121,0.383123272,0.036968491,-0.192985239061457,121
122,0.374761036,0.029800154,-0.21159211615613,122
123,0.367175193,0.023735238,-0.23012261079475,123
124,0.361234614,0.019463267,-0.248570033669994,124
125,0.357240827,0.017602321,-0.266927725462542,125
126,0.35191606,0.017744062,-0.285189059245021,126
127,0.345188406,0.019394899,-0.303347442874251,127
128,0.337793337,0.02220261,-0.321396321370944,128
129,0.330466323,0.02581497,-0.33932917928597,129
130,0.323942836,0.029879755,-0.357139543052372,130
131,0.318958348,0.034044741,-0.374820983322251,131
132,0.3158139,0.037957704,-0.392367117287689,132
133,0.311261737,0.04126642,-0.409771610984875,133
134,0.305400075,0.043972765,-0.427028181580595,134
135,0.299371086,0.046777621,-0.44413059964027,135
136,0.294316939,0.04964977,-0.461072691376713,136
137,0.291233165,0.052514765,-0.477848340878796,137
138,0.288784362,0.055298157,-0.494451492319232,138
139,0.286357971,0.057925501,-0.510876152140661,139
140,0.283965268,0.060322349,-0.527116391219258,140
141,0.281617526,0.062414253,-0.543166347005083,141
142,0.27932602,0.064126767,-0.559020225638401,142
143,0.277102025,0.065425182,-0.574672304041197,143
144,0.274956814,0.06668374,-0.590116931983148,144
145,0.272901662,0.067900171,-0.605348534121294,145
146,0.270947844,0.068931534,-0.62036161201268,146
147,0.269106634,0.069634888,-0.635150746099226,147
148,0.267389307,0.069867291,-0.649710597664137,148
149,0.265807136,0.069485803,-0.664035910759119,149
150,0.264371396,0.068347482,-0.678121514101715,150
151,0.263093362,0.066309387,-0.691962322942087,151
152,0.261984308,0.063100112,-0.705553340898556,152
153,0.261055509,0.05815846,-0.718889661761236,153
154,0.26010765,0.051899415,-0.731966471263127,154
155,0.258895931,0.044864175,-0.744779048818014,155
156,0.257456357,0.037593939,-0.757322769224543,156
157,0.255826041,0.030629905,-0.769593104335872,157
158,0.254042091,0.024513271,-0.78158562469428,158
159,0.25214162,0.019785235,-0.793296001130156,159
160,0.250161739,0.016088648,-0.804720006324781,160
161,0.248139558,0,-0.815853516336344,161
162,0.246112188,0,-0.82669251208864,162
163,0.244116741,0,-0.837233080821914,163
164,0.242190326,0,-0.847471417505322,164
165,0.240370057,0,-0.857403826210511,165
166,0.238693042,0,-0.867026721445803,166
167,0.237196394,0.028497498,-0.876336629450521,167
168,0.235917223,0.070969661,-0.885330189448982,168
169,0.23488768,0.127216742,-0.894004154863697,169
170,0.233725773,0.194674904,-0.902355394487348,170
171,0.232215838,0.270780312,-0.910380893613126,171
172,0.230416888,0.352969129,-0.918077755123004,172
173,0.228387933,0.43867752,-0.925443200533563,173
174,0.226187985,0.525341648,-0.932474570998998,174
175,0.223876054,0.610397677,-0.939169328270932,175
176,0.221511153,0.691281772,-0.945525055614696,176
177,0.219152291,0.765430096,-0.95153945868174,177
178,0.216858482,0.832725731,-0.957210366337873,178
179,0.214688735,0.897251707,-0.962535731447017,179
180,0.212702061,0.959997489,-0.967513631610201,180
181,0.210957473,1.02185046,-0.972142269859527,181
182,0.209513982,1.083698008,-0.976419975306852,182
183,0.208430597,1.146427518,-0.980345203746966,183
184,0.207698331,1.210926376,-0.983916538215029,184
185,0.206832525,1.278081967,-0.987132689498085,185
186,0.205756352,1.348781677,-0.989992496600445,186
187,0.204506516,1.424049346,-0.992494927162805,187
188,0.203119722,1.503510529,-0.994639077834907,188
189,0.201632673,1.585946419,-0.996424174601643,189
190,0.200082074,1.670138199,-0.997849573062468,190
191,0.198504629,1.754867056,-0.998914758664016,191
192,0.196937043,1.838914175,-0.999619346885854,192
193,0.19541602,1.921060743,-0.999963083379285,193
194,0.193978264,2.000087943,-0.999945844059167,194
195,0.19266048,2.07471657,-0.999567635148709,195
196,0.191499371,2.142206143,-0.998828593177219,196
197,0.190531641,2.203836606,-0.997728984930823,197
198,0.189768779,2.262699449,-0.996269207356157,198
199,0.188884701,2.321886163,-0.994449787417071,199
200,0.187794531,2.384488238,-0.992271381904406,200
201,0.186531255,2.453597164,-0.989734777198894,201
202,0.185127858,2.532304433,-0.986840888987285,202
203,0.183617327,2.623605921,-0.983590761931798,203
204,0.182032646,2.726899413,-0.979985569293002,204
205,0.180406803,2.838093989,-0.976026612506288,205
206,0.178772782,2.952988978,-0.971715320712062,206
207,0.17716357,3.067383708,-0.967053250239842,207
208,0.175612152,3.17707751,-0.962042084046437,208
209,0.174151515,3.278117956,-0.956683631108423,209
210,0.172814644,3.372081636,-0.950979825769119,210
211,0.171592965,3.461440371,-0.944932727040306,211
212,0.169978624,3.547624519,-0.938544517858958,212
213,0.167896509,3.632064435,-0.931817504299211,213
214,0.165454851,3.716190476,-0.924754114739907,214
215,0.162761882,3.801432997,-0.917356898987966,215
216,0.159925832,3.889222355,-0.909628527357944,216
217,0.157054931,3.975456762,-0.901571789708069,217
218,0.154257411,4.057019621,-0.893189594433136,218
219,0.151641503,4.137964256,-0.884484967414609,219
220,0.149315436,4.222350075,-0.87546105092831,220
221,0.147387441,4.314236484,-0.866121102510092,221
222,0.14596543,4.417682889,-0.856468493779901,222
223,0.144765123,4.535705677,-0.846506709224664,223
224,0.143483417,4.646472896,-0.836239344940419,224
225,0.142137676,4.758197485,-0.825670107334171,225
226,0.140745261,4.895645661,-0.814802811785913,226
227,0.139323534,5.083583639,-0.80364138127132,227
228,0.137889857,5.347087237,-0.792189844945595,228
229,0.136461594,5.685910343,-0.78045233668899,229
230,0.135056106,6.05833483,-0.768433093614515,230
231,0.133690755,6.419713284,-0.756136454538392,231
232,0.132382903,6.755569061,-0.743566858413788,232
233,0.131149914,7.086492154,-0.730728842728396,233
234,0.130009148,7.413903598,-0.71762704186646,234
235,0.128977969,7.737187354,-0.704266185435806,235
236,0.128073739,8.053066823,-0.690651096560508,236
237,0.127012139,8.371822545,-0.676786690139789,237
238,0.12547355,8.704807275,-0.662677971073801,238
239,0.12361269,9.053536503,-0.648330032456907,239
240,0.121587341,9.408216601,-0.633748053739129,240
241,0.119555287,9.759132576,-0.618937298856426,241
242,0.11767431,10.11260144,-0.603903114330464,242
243,0.116102192,10.44473785,-0.588650927338589,243
244,0.114996704,10.71810053,-0.573186243754666,244
245,0.11374483,10.96059096,-0.557514646161523,245
246,0.111776185,11.22238429,-0.541641791835699,246
247,0.109294023,11.5462125,-0.525573410705225,247
248,0.106501596,11.91068866,-0.50931530328119,248
249,0.103602156,12.27631437,-0.49287333856381,249
250,0.100798957,12.64159199,-0.476253451923789,250
251,0.098295252,13.00546171,-0.459461642959714,251
252,0.096294292,13.36400647,-0.442503973332263,252
253,0.094999332,13.72575672,-0.425386564576011,253
254,0.094613623,14.06273771,-0.408115595889624,254
255,0.095340418,14.34654558,-0.390697301905238,255
256,0.097383789,14.58353861,-0.373137970437818,256
257,0.100879423,14.79206181,-0.35544394021533,257
258,0.105589528,14.98996466,-0.337621598590529,258
259,0.11118201,15.17057538,-0.319677379235192,259
260,0.117324773,15.33417906,-0.301617759817632,260
261,0.123685722,15.49643114,-0.283449259664332,261
262,0.129932763,15.67017154,-0.265178437406539,262
263,0.1357338,15.84966698,-0.246811888612668,263
264,0.140756739,16.03056176,-0.228356243407372,264
265,0.144669484,16.20978015,-0.209818164078145,265
266,0.147917709,16.38687846,-0.191204342670301,266
267,0.153987288,16.56317815,-0.172521498571223,267
268,0.162750642,16.73951074,-0.153776376084736,268
269,0.173512111,16.91761772,-0.134975741996487,269
270,0.185576038,17.09911956,-0.116126383131207,270
271,0.198246762,17.27875725,-0.0972351039027435,271
272,0.210828624,17.4507193,-0.0783087238577398,272
273,0.222625964,17.60736345,-0.0593540752138525,273
274,0.232943125,17.75016902,-0.0403780003933964,274
275,0.241084446,17.8914441,-0.0213873495533005,275
276,0.246383072,18.04361686,-0.00238897811228154,276
277,0.251941022,18.2184392,0.0166102557238918,277
278,0.259663525,18.41343188,0.0356034934381354,278
279,0.268768239,18.61341855,0.0545838786779001,279
280,0.278472818,18.8028185,0.0735445597302405,280
281,0.28799492,18.97339953,0.0924786919952077,281
282,0.296552199,19.13395228,0.11137944045668,282
283,0.303362312,19.28502541,0.130239982149722,283
284,0.308343579,19.4266851,0.149053508623609,284
285,0.315428966,19.55889109,0.167813228399597,285
286,0.324584099,19.68164096,0.186512369422576,286
287,0.334869038,19.79491721,0.205144181505709,287
288,0.345343846,19.87550882,0.223701938767173,288
289,0.355068582,19.91060595,0.242178942058136,289
290,0.363103307,19.91200195,0.260568521381068,290
291,0.368554542,19.89149013,0.278864038297544,291
292,0.374081419,19.86086382,0.297058888324643,292
293,0.381268542,19.83191635,0.315146503319104,293
294,0.389553095,19.81644105,0.333120353848342,294
295,0.398372265,19.81573926,0.350973951547511,295
296,0.407163237,19.81401499,0.368700851461733,296
297,0.415363196,19.81134574,0.386294654372651,297
298,0.42240933,19.80838304,0.403749009108483,298
299,0.427738822,19.80577845,0.421057614836721,299
300,0.433619231,19.8041835,0.438214223338669,300
301,0.44243347,19.80427162,0.455212641264976,301
302,0.452600819,19.80610483,0.472046732371376,302
303,0.462527532,19.80900723,0.488710419733794,303
304,0.470619863,19.81227895,0.505197687942061,304
305,0.476010314,19.81522015,0.521502585271403,305
306,0.48414109,19.81713097,0.537619225830956,306
307,0.494643906,19.81731155,0.553541791688504,307
308,0.505238142,19.80928272,0.569264534970688,308
309,0.513643181,19.71200063,0.584781779937935,309
310,0.517956805,19.54874252,0.600087925033327,310
311,0.522314179,19.38358079,0.615177444904708,311
312,0.528044046,19.28058788,0.630044892399276,312
313,0.53457355,19.30383618,0.644684900529946,313
314,0.541329839,19.51739813,0.659092184412773,314
315,0.549658773,19.9428183,0.673261543174735,315
316,0.56438633,20.17538301,0.687187861831201,316
317,0.579788746,20.00687151,0.700866113132373,317
318,0.590009343,19.40618028,0.714291359378077,318
319,0.616285973,18.67586351,0.727458754200216,319
320,0.662144879,17.95701227,0.740363544312256,320
321,0.71695375,17.39592001,0.753001071225113,321
322,0.77008028,17.09478943,0.765366772928812,322
323,0.810892159,16.57623173,0.777456185539332,323
324,0.848837524,15.81524827,0.78926494491001,324
325,0.909172469,15.24765473,0.800788788206955,325
326,0.956923345,14.70449886,0.812023555447886,326
327,0.997002721,14.17136014,0.822965191003837,327
328,1.053699631,13.0773553,0.833609745063199,328
329,1.097698422,12.53966354,0.843953375057555,329
330,1.138793966,11.89562515,0.853992347048809,330
331,1.19634655,11.29419339,0.863723037077095,331
332,1.235080565,10.72580446,0.873141932468988,332
333,1.290599017,9.879597811,0.882245633105539,333
334,1.348179013,9.297812261,0.891030852649685,334
335,1.389911692,8.807517201,0.899494419732578,335
336,1.451667206,8.220800564,0.907633279098413,336
337,1.489929946,7.174331078,0.915444492707349,337
338,1.542645737,6.642401946,0.922925240796101,338
339,1.59658364,6.078998193,0.93007282289585,339
340,1.67331039,5.465467771,0.936884658807081,340
341,1.716428591,4.771884129,0.943358289531005,341
342,1.756137967,4.10350428,0.949491378157235,342
343,1.782901969,3.479318642,0.955281710707381,343
344,1.823897958,2.9038265,0.960727196934277,344
345,1.863893952,2.313383038,0.965825871076531,345
346,1.902870525,1.713230606,0.970575892568149,346
347,1.944646389,1.134758605,0.974975546702959,347
348,1.982436406,0.607759334,0.979023245253597,348
349,1.976247111,0.121896072,0.982717527044845,349
350,1.954600271,0,0.986057058481095,350
351,1.942116471,0,0.989040634027767,351
352,1.928441309,0,0.991667176646489,352
353,1.907761117,0,0.9939357381839,353
354,1.884372953,0,0.995845499713922,354
355,1.862573875,0,0.997395771833382,355
356,1.846660942,0,0.998585994910881,356
357,1.836825299,0,0.999415739288814,357
358,1.821408736,0,0.999884705438472,358
359,1.803421971,0,0.999992724068166,359
360,1.787521166,0,0.999739756184346,360
361,1.777624648,0,0.999125893105669,361
362,1.765179481,0,0.998151356430041,362
363,1.749246993,0,0.996816497954619,363
364,1.7335442,0,0.995121799548815,364
365,1.721788119,0,0.993067872980349,365
